org.jhotdraw.samples.teddy.Main org.jhotdraw.samples.teddy.TeddyApplicationModel 4 100 100
org.jhotdraw.app.AbstractApplicationModel org.jhotdraw.app.AbstractApplicationModel 27 100 100
org.jhotdraw.app.AbstractApplication org.jhotdraw.app.AbstractApplication 692 57.66666 85.96273
org.jhotdraw.app.AbstractApplication.3 org.jhotdraw.app.AbstractApplication 12 50 1.490683
org.jhotdraw.app.AbstractApplication org.jhotdraw.util.prefs.PreferencesUtil 6 0.5 14.28572
org.jhotdraw.app.OSXApplication org.jhotdraw.util.ResourceBundleUtil 258 15.83794 0.8495785
org.jhotdraw.app.OSXApplication org.jhotdraw.app.OSXApplication 560 34.37692 52.04461
org.jhotdraw.app.OSXApplication org.jhotdraw.util.prefs.PreferencesUtil 12 0.7366483 28.57143
org.jhotdraw.app.OSXApplication org.jhotdraw.util.Methods 6 0.3683241 12.2449
org.jhotdraw.util.Methods org.jhotdraw.util.Methods 33 100 67.34694
org.jhotdraw.app.AbstractApplication org.jhotdraw.util.ResourceBundleUtil 30 2.5 0.0987882
org.jhotdraw.util.ResourceBundleUtil org.jhotdraw.util.LocaleUtil 1448 5.265071 100
org.jhotdraw.util.ResourceBundleUtil org.jhotdraw.util.ResourceBundleUtil 26054 94.73493 85.79426
org.jhotdraw.app.action org.jhotdraw.app.action.AbstractApplicationAction 120 31.49606 18.57585
org.jhotdraw.app.action.AbstractApplicationAction org.jhotdraw.app.action.AbstractApplicationAction 456 48.61407 70.58823
org.jhotdraw.app.action.AbstractApplicationAction org.jhotdraw.app.Application 482 51.38593 17.82544
org.jhotdraw.app.action.app org.jhotdraw.util.ResourceBundleUtil 24 57.14286 0.07903056
org.jhotdraw.app.action.app org.jhotdraw.app.action.app.OpenApplicationAction 6 14.28572 100
org.jhotdraw.app.action.app org.jhotdraw.app.action.app.OpenApplicationFileAction 6 14.28572 100
org.jhotdraw.app.action.app org.jhotdraw.app.action.app.ReOpenApplicationAction 6 14.28572 33.33334
org.jhotdraw.app.action.file.ClearRecentFilesMenuAction org.jhotdraw.app.action.file.ClearRecentFilesMenuAction 18 60 75
org.jhotdraw.app.action.file.ClearRecentFilesMenuAction org.jhotdraw.app.Application 12 40 0.443787
org.jhotdraw.app.action.file org.jhotdraw.util.ResourceBundleUtil 172 96.62921 0.5663857
org.jhotdraw.app.action.file org.jhotdraw.app.action.file.ClearRecentFilesMenuAction 6 3.370786 25
org.jhotdraw.app.action org.jhotdraw.app.Application 174 45.66929 6.434912
org.jhotdraw.app.action.window org.jhotdraw.util.ResourceBundleUtil 60 62.5 0.1975764
org.jhotdraw.app.OSXApplication org.jhotdraw.app.ApplicationModel 156 9.576427 48.4472
org.jhotdraw.app.action.edit org.jhotdraw.util.ResourceBundleUtil 380 100 1.251317
org.jhotdraw.samples.teddy.action org.jhotdraw.samples.teddy.action.ToggleLineWrapAction 2 33.33334 16.66667
org.jhotdraw.app.action.AbstractViewAction org.jhotdraw.app.action.AbstractViewAction 4908 67.58469 60.98409
org.jhotdraw.samples.teddy.action.ToggleLineWrapAction org.jhotdraw.samples.teddy.action.ToggleLineWrapAction 10 83.33333 83.33333
org.jhotdraw.app.action.AbstractViewAction org.jhotdraw.app.Application 1634 22.50069 60.42899
org.jhotdraw.samples.teddy.action org.jhotdraw.samples.teddy.action.ToggleStatusBarAction 2 33.33334 10
org.jhotdraw.samples.teddy.action.ToggleStatusBarAction org.jhotdraw.samples.teddy.action.ToggleStatusBarAction 18 75 90
org.jhotdraw.samples.teddy.action org.jhotdraw.samples.teddy.action.ToggleLineNumbersAction 2 33.33334 10
org.jhotdraw.samples.teddy.action.ToggleLineNumbersAction org.jhotdraw.samples.teddy.action.ToggleLineNumbersAction 18 75 90
org.jhotdraw.app.DefaultApplicationModel org.jhotdraw.app.DefaultApplicationModel 6 100 100
org.jhotdraw.app.OSXApplication org.jhotdraw.app.MenuBuilder 456 27.99263 86.85714
org.jhotdraw.app.DefaultMenuBuilder org.jhotdraw.app.Application 312 46.77661 11.53846
org.jhotdraw.app.DefaultMenuBuilder org.jhotdraw.app.DefaultMenuBuilder 355 53.22339 100
org.jhotdraw.app.AbstractApplication org.jhotdraw.app.AbstractApplication.OpenRecentMenuHandler 24 2 100
org.jhotdraw.app.AbstractApplication.OpenRecentMenuHandler org.jhotdraw.app.AbstractApplication 101 100 12.54658
org.jhotdraw.app.OSXApplication org.jhotdraw.app.OSXApplication.WindowMenuHandler 24 1.473297 34.78261
org.jhotdraw.app.OSXApplication.WindowMenuHandler org.jhotdraw.app.OSXApplication 412 57.86517 38.28996
org.jhotdraw.app.OSXApplication.WindowMenuHandler org.jhotdraw.app.ApplicationModel 69 9.691011 21.42857
org.jhotdraw.app.OSXApplication.WindowMenuHandler org.jhotdraw.app.MenuBuilder 69 9.691011 13.14286
org.jhotdraw.app.OSXApplication org.jhotdraw.app.osx.OSXPaletteHandler 41 2.516881 6.602254
org.jhotdraw.app.OSXApplication org.jhotdraw.app.osx.OSXAdapter 30 1.841621 18.40491
org.jhotdraw.app.osx.OSXAdapter org.jhotdraw.app.osx.OSXAdapter 133 100 81.59509
org.jhotdraw.app.AbstractApplication.3 org.jhotdraw.app.ApplicationModel 12 50 3.726708
